"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 30 et 34 ans";50
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 35 et 39 ans";70
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 40 et 44 ans";63
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 45 et 49 ans";73
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 50 et 54 ans";82
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 55 et 59 ans";360
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 60 et 64 ans";324
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Entre 65 et 69 ans";104
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"70 ans et plus";44
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Ensemble tous âges confondus";3157
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Moins de 30 ans";1
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 30 et 34 ans";234
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 35 et 39 ans";380
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 40 et 44 ans";393
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 45 et 49 ans";478
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 50 et 54 ans";623
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 55 et 59 ans";511
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 60 et 64 ans";364
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"Entre 65 et 69 ans";123
"FRANCE ENTIERE";"Chirurgie orthopédique et traumatologie";"70 ans et plus";50
"FRANCE ENTIERE";"Chirurgie infantile";"Ensemble tous âges confondus";300
"FRANCE ENTIERE";"Chirurgie infantile";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 30 et 34 ans";11
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 35 et 39 ans";54
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 40 et 44 ans";45
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 45 et 49 ans";67
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 50 et 54 ans";53
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 55 et 59 ans";29
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 60 et 64 ans";28
"FRANCE ENTIERE";"Chirurgie infantile";"Entre 65 et 69 ans";11
"FRANCE ENTIERE";"Chirurgie infantile";"70 ans et plus";2
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Ensemble tous âges confondus";869
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 30 et 34 ans";69
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 35 et 39 ans";125
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 40 et 44 ans";108
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 45 et 49 ans";111
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 50 et 54 ans";170
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 55 et 59 ans";134
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 60 et 64 ans";84
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"Entre 65 et 69 ans";40
"FRANCE ENTIERE";"Chirurgie plastique reconstructrice et esthétique";"70 ans et plus";28
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Ensemble tous âges confondus";436
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 30 et 34 ans";20
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 35 et 39 ans";77
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 40 et 44 ans";79
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 45 et 49 ans";75
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 50 et 54 ans";106
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 55 et 59 ans";42
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 60 et 64 ans";24
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"Entre 65 et 69 ans";12
"FRANCE ENTIERE";"Chirurgie thoracique et cardio-vasculaire";"70 ans et plus";1
"FRANCE ENTIERE";"Chirurgie urologique";"Ensemble tous âges confondus";1171
"FRANCE ENTIERE";"Chirurgie urologique";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 30 et 34 ans";99
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 35 et 39 ans";181
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 40 et 44 ans";181
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 45 et 49 ans";183
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 50 et 54 ans";221
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 55 et 59 ans";142
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 60 et 64 ans";108
"FRANCE ENTIERE";"Chirurgie urologique";"Entre 65 et 69 ans";45
"FRANCE ENTIERE";"Chirurgie urologique";"70 ans et plus";11
"FRANCE ENTIERE";"Chirurgie vasculaire";"Ensemble tous âges confondus";523
"FRANCE ENTIERE";"Chirurgie vasculaire";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 30 et 34 ans";37
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 35 et 39 ans";42
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 40 et 44 ans";67
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 45 et 49 ans";75
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 50 et 54 ans";72
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 55 et 59 ans";81
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 60 et 64 ans";98
"FRANCE ENTIERE";"Chirurgie vasculaire";"Entre 65 et 69 ans";44
"FRANCE ENTIERE";"Chirurgie vasculaire";"70 ans et plus";7
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Ensemble tous âges confondus";977
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Moins de 30 ans";0
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 30 et 34 ans";41
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 35 et 39 ans";111
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 40 et 44 ans";149
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 45 et 49 ans";200
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 50 et 54 ans";264
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 55 et 59 ans";103
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 60 et 64 ans";73
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"Entre 65 et 69 ans";31
"FRANCE ENTIERE";"Chirurgie viscérale et digestive";"70 ans et plus";5
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Ensemble tous âges confondus";4065
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Moins de 30 ans";75
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 30 et 34 ans";253
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 35 et 39 ans";264
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 40 et 44 ans";264
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 45 et 49 ans";428
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 50 et 54 ans";499
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 55 et 59 ans";955
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 60 et 64 ans";845
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"Entre 65 et 69 ans";352
"FRANCE ENTIERE";"Dermatologie et vénéréologie";"70 ans et plus";130
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Ensemble tous âges confondus";1829
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Moins de 30 ans";42
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 30 et 34 ans";191
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 35 et 39 ans";206
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 40 et 44 ans";237
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 45 et 49 ans";236
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 50 et 54 ans";309
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 55 et 59 ans";282
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 60 et 64 ans";209
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"Entre 65 et 69 ans";91
"FRANCE ENTIERE";"Endocrinologie et métabolisme";"70 ans et plus";26
"FRANCE ENTIERE";"Génétique médicale";"Ensemble tous âges confondus";239
"FRANCE ENTIERE";"Génétique médicale";"Moins de 30 ans";3
"FRANCE ENTIERE";"Génétique médicale";"Entre 30 et 34 ans";23
"FRANCE ENTIERE";"Génétique médicale";"Entre 35 et 39 ans";35
"FRANCE ENTIERE";"Génétique médicale";"Entre 40 et 44 ans";29
"FRANCE ENTIERE";"Génétique médicale";"Entre 45 et 49 ans";21
"FRANCE ENTIERE";"Génétique médicale";"Entre 50 et 54 ans";47
"FRANCE ENTIERE";"Génétique médicale";"Entre 55 et 59 ans";28
"FRANCE ENTIERE";"Génétique médicale";"Entre 60 et 64 ans";30
"FRANCE ENTIERE";"Génétique médicale";"Entre 65 et 69 ans";14
"FRANCE ENTIERE";"Génétique médicale";"70 ans et plus";9
"FRANCE ENTIERE";"Gériatrie";"Ensemble tous âges confondus";1647
"FRANCE ENTIERE";"Gériatrie";"Moins de 30 ans";2
"FRANCE ENTIERE";"Gériatrie";"Entre 30 et 34 ans";77
"FRANCE ENTIERE";"Gériatrie";"Entre 35 et 39 ans";149
"FRANCE ENTIERE";"Gériatrie";"Entre 40 et 44 ans";253
"FRANCE ENTIERE";"Gériatrie";"Entre 45 et 49 ans";321
"FRANCE ENTIERE";"Gériatrie";"Entre 50 et 54 ans";364
"FRANCE ENTIERE";"Gériatrie";"Entre 55 et 59 ans";266
"FRANCE ENTIERE";"Gériatrie";"Entre 60 et 64 ans";159
"FRANCE ENTIERE";"Gériatrie";"Entre 65 et 69 ans";43
"FRANCE ENTIERE";"Gériatrie";"70 ans et plus";13
"FRANCE ENTIERE";"Gynécologie médicale";"Ensemble tous âges confondus";3311
"FRANCE ENTIERE";"Gynécologie médicale";"Moins de 30 ans";21
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 30 et 34 ans";85
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 35 et 39 ans";28
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 40 et 44 ans";10
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 45 et 49 ans";15
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 50 et 54 ans";90
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 55 et 59 ans";1198
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 60 et 64 ans";1120
"FRANCE ENTIERE";"Gynécologie médicale";"Entre 65 et 69 ans";585
"FRANCE ENTIERE";"Gynécologie médicale";"70 ans et plus";159
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Ensemble tous âges confondus";4577
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Moins de 30 ans";49
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 30 et 34 ans";637
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 35 et 39 ans";802
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 40 et 44 ans";555
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 45 et 49 ans";501
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 50 et 54 ans";606
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 55 et 59 ans";630
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 60 et 64 ans";459
"FRANCE ENTIERE";"Gynécologie-obstétrique";"Entre 65 et 69 ans";260
"FRANCE ENTIERE";"Gynécologie-obstétrique";"70 ans et plus";78
"FRANCE ENTIERE";"Hématologie";"Ensemble tous âges confondus";552
"FRANCE ENTIERE";"Hématologie";"Moins de 30 ans";6
"FRANCE ENTIERE";"Hématologie";"Entre 30 et 34 ans";98
"FRANCE ENTIERE";"Hématologie";"Entre 35 et 39 ans";95
"FRANCE ENTIERE";"Hématologie";"Entre 40 et 44 ans";103
"FRANCE ENTIERE";"Hématologie";"Entre 45 et 49 ans";118
"FRANCE ENTIERE";"Hématologie";"Entre 50 et 54 ans";98
"FRANCE ENTIERE";"Hématologie";"Entre 55 et 59 ans";20
"FRANCE ENTIERE";"Hématologie";"Entre 60 et 64 ans";11
"FRANCE ENTIERE";"Hématologie";"Entre 65 et 69 ans";2
"FRANCE ENTIERE";"Hématologie";"70 ans et plus";1
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Ensemble tous âges confondus";3630
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Moins de 30 ans";106
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 30 et 34 ans";309
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 35 et 39 ans";271
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 40 et 44 ans";334
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 45 et 49 ans";491
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 50 et 54 ans";607
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 55 et 59 ans";713
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 60 et 64 ans";516
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"Entre 65 et 69 ans";217
"FRANCE ENTIERE";"Gastro-entérologie et hépatologie";"70 ans et plus";66
"FRANCE ENTIERE";"Médecine du travail";"Ensemble tous âges confondus";5605
"FRANCE ENTIERE";"Médecine du travail";"Moins de 30 ans";22
"FRANCE ENTIERE";"Médecine du travail";"Entre 30 et 34 ans";195
"FRANCE ENTIERE";"Médecine du travail";"Entre 35 et 39 ans";290
"FRANCE ENTIERE";"Médecine du travail";"Entre 40 et 44 ans";354
"FRANCE ENTIERE";"Médecine du travail";"Entre 45 et 49 ans";575
"FRANCE ENTIERE";"Médecine du travail";"Entre 50 et 54 ans";633
"FRANCE ENTIERE";"Médecine du travail";"Entre 55 et 59 ans";1346
"FRANCE ENTIERE";"Médecine du travail";"Entre 60 et 64 ans";1592
"FRANCE ENTIERE";"Médecine du travail";"Entre 65 et 69 ans";506
"FRANCE ENTIERE";"Médecine du travail";"70 ans et plus";92
"FRANCE ENTIERE";"Médecine interne";"Ensemble tous âges confondus";2419
"FRANCE ENTIERE";"Médecine interne";"Moins de 30 ans";14
"FRANCE ENTIERE";"Médecine interne";"Entre 30 et 34 ans";234
"FRANCE ENTIERE";"Médecine interne";"Entre 35 et 39 ans";251
"FRANCE ENTIERE";"Médecine interne";"Entre 40 et 44 ans";251
"FRANCE ENTIERE";"Médecine interne";"Entre 45 et 49 ans";310
"FRANCE ENTIERE";"Médecine interne";"Entre 50 et 54 ans";290
"FRANCE ENTIERE";"Médecine interne";"Entre 55 et 59 ans";299
"FRANCE ENTIERE";"Médecine interne";"Entre 60 et 64 ans";402
"FRANCE ENTIERE";"Médecine interne";"Entre 65 et 69 ans";268
"FRANCE ENTIERE";"Médecine interne";"70 ans et plus";100
"FRANCE ENTIERE";"Médecine nucléaire";"Ensemble tous âges confondus";693
"FRANCE ENTIERE";"Médecine nucléaire";"Moins de 30 ans";39
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 30 et 34 ans";103
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 35 et 39 ans";112
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 40 et 44 ans";66
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 45 et 49 ans";87
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 50 et 54 ans";80
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 55 et 59 ans";91
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 60 et 64 ans";70
"FRANCE ENTIERE";"Médecine nucléaire";"Entre 65 et 69 ans";35
"FRANCE ENTIERE";"Médecine nucléaire";"70 ans et plus";10
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Ensemble tous âges confondus";2043
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Moins de 30 ans";43
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 30 et 34 ans";114
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 35 et 39 ans";169
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 40 et 44 ans";179
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 45 et 49 ans";252
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 50 et 54 ans";217
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 55 et 59 ans";452
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 60 et 64 ans";394
"FRANCE ENTIERE";"Médecine physique et réadaptation";"Entre 65 et 69 ans";173
"FRANCE ENTIERE";"Médecine physique et réadaptation";"70 ans et plus";50
"FRANCE ENTIERE";"Néphrologie";"Ensemble tous âges confondus";1613
"FRANCE ENTIERE";"Néphrologie";"Moins de 30 ans";67
"FRANCE ENTIERE";"Néphrologie";"Entre 30 et 34 ans";219
"FRANCE ENTIERE";"Néphrologie";"Entre 35 et 39 ans";168
"FRANCE ENTIERE";"Néphrologie";"Entre 40 et 44 ans";194
"FRANCE ENTIERE";"Néphrologie";"Entre 45 et 49 ans";198
"FRANCE ENTIERE";"Néphrologie";"Entre 50 et 54 ans";236
"FRANCE ENTIERE";"Néphrologie";"Entre 55 et 59 ans";226
"FRANCE ENTIERE";"Néphrologie";"Entre 60 et 64 ans";164
"FRANCE ENTIERE";"Néphrologie";"Entre 65 et 69 ans";113
"FRANCE ENTIERE";"Néphrologie";"70 ans et plus";28
"FRANCE ENTIERE";"Neurochirurgie";"Ensemble tous âges confondus";527
"FRANCE ENTIERE";"Neurochirurgie";"Moins de 30 ans";0
"FRANCE ENTIERE";"Neurochirurgie";"Entre 30 et 34 ans";71
"FRANCE ENTIERE";"Neurochirurgie";"Entre 35 et 39 ans";75
"FRANCE ENTIERE";"Neurochirurgie";"Entre 40 et 44 ans";79
"FRANCE ENTIERE";"Neurochirurgie";"Entre 45 et 49 ans";65
"FRANCE ENTIERE";"Neurochirurgie";"Entre 50 et 54 ans";81
"FRANCE ENTIERE";"Neurochirurgie";"Entre 55 et 59 ans";70
"FRANCE ENTIERE";"Neurochirurgie";"Entre 60 et 64 ans";42
"FRANCE ENTIERE";"Neurochirurgie";"Entre 65 et 69 ans";29
"FRANCE ENTIERE";"Neurochirurgie";"70 ans et plus";15
"FRANCE ENTIERE";"Neurologie";"Ensemble tous âges confondus";2389
"FRANCE ENTIERE";"Neurologie";"Moins de 30 ans";82
"FRANCE ENTIERE";"Neurologie";"Entre 30 et 34 ans";308
"FRANCE ENTIERE";"Neurologie";"Entre 35 et 39 ans";286
"FRANCE ENTIERE";"Neurologie";"Entre 40 et 44 ans";302
"FRANCE ENTIERE";"Neurologie";"Entre 45 et 49 ans";360
"FRANCE ENTIERE";"Neurologie";"Entre 50 et 54 ans";358
"FRANCE ENTIERE";"Neurologie";"Entre 55 et 59 ans";310
"FRANCE ENTIERE";"Neurologie";"Entre 60 et 64 ans";255
"FRANCE ENTIERE";"Neurologie";"Entre 65 et 69 ans";110
"FRANCE ENTIERE";"Neurologie";"70 ans et plus";18
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Ensemble tous âges confondus";3054
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Moins de 30 ans";19
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 30 et 34 ans";265
